,species,x,y,day,month,year
108,Ambystoma opacum,-78.907515,35.718944,2,3,2017
109,Ambystoma opacum,-86.383889,32.476233,1,3,2017
110,Ambystoma opacum,-78.9962,37.977055,26,2,2017
111,Ambystoma opacum,-88.761291,37.230576,25,2,2017
112,Ambystoma opacum,-87.677794,40.203845,21,2,2017
113,Ambystoma opacum,-76.975373,35.355359,13,2,2017
114,Ambystoma opacum,-87.787042,40.23888,21,2,2017
116,Ambystoma opacum,-87.7279,40.252756,21,2,2017
117,Ambystoma opacum,-76.988533,37.537983,20,2,2017
118,Ambystoma opacum,-80.778617,35.456863,11,2,2017
119,Ambystoma opacum,-79.012373,35.882478,8,2,2017
120,Ambystoma opacum,-80.777514,35.455217,31,1,2017
121,Ambystoma opacum,-92.412271,34.954126,27,1,2017
122,Ambystoma opacum,-94.145653,30.465003,20,1,2017
123,Ambystoma opacum,-78.728643,35.841362,19,1,2017
124,Ambystoma opacum,-94.275251,31.220126,3,1,2017
125,Ambystoma opacum,-94.332686,31.30375,3,1,2017
126,Ambystoma opacum,-94.043598,31.274278,3,1,2017
127,Ambystoma opacum,-94.200466,31.24543,3,1,2017
128,Ambystoma opacum,-79.015075,35.891013,15,1,2017
129,Ambystoma opacum,-83.369675,34.001008,14,1,2017
130,Ambystoma opacum,-86.701352,33.704775,5,1,2017
